CKY_ART;DESCR;CATEGORIA;COSTO
0000032784;!TV LED 55 SAMSUNG UE55H680;31;921,795
0000032785;!VENTOLA CORSAIR AF120 (CO-9;77;21
0000032786;!ACCESS POINT ZYXEL;77;165
0000032787;!DDR4 CORSAIR 32 GB PC3200;29;145,605
0000032788;!HARD DISK TOSHIBA 1 TB ESTE;33;119,055
0000032789;!NOTEBOOK ASUS VIVOBOOK E200;54;282,885
0000032790;!TABLET PC ASUS TRANSFORMER;60;346,68
0000032791;!TABLET PC ASUS TRANSFORMER;60;306
0000032792;!<TABLET ASUS ZENPAD Z170CG-;60;154,83
0000032793;!%TABLET ASUS ZENPAD Z300CL-;60;300
0000032794;!TABLET ASUS ZENPAD Z380KL-1;60;200,775
0000032795;!NOTEBOOK LENOVO B51-80 (80L;54;576,93
0000032796;!NOTEBOOK LENOVO B51-80 (80L;54;654,78
0000032797;!%NOTEBOOK HP 450 G3 (P4P59E;54;836,4
0000032798;KIT LOGITECH MK235 TASTIERA;76;31,995
0000032799;!TABLET PC MEDIACOM 10 (M-W;60;243,315
0000032800;!MOUSE EVOLUENT VERTICAL MOU;50;118,305
0000032801;!SCHEDA VIDEO XFX R9 390 8GB;51;301,95
0000032802;!HARD DISK MAXTOR 3 TB ESTER;25;99,075
0000032803;!%SMARTPHONE SAMSUNG A510 (S;91;442,5
0000032804;!%CELLULARE SAMSUNG GALAXY S;91;400,5
0000032805;!%SMARTPHONE HUAWEI HONOR 4C;91;184,5
0000032806;!SMARTPHONE HUAWEI HONOR 4X;91;220,5
0000032807;!%SMARTPHONE HUAWEI Y6 BIANC;91;151,5
0000032808;!<SMARTPHONE HUAWEI MATE S C;91;426,495
0000032809;!STAMPANTE MULTIFUNZIONE EPS;23;98,85
0000032810;!MB GIGABYTE GA-H81M-S2H;35;45
0000032811;!%NOTEBOOK LENOVO B50-80 (80;54;407,355
0000032812;!%NOTEBOOK LENOVO B50-80 (80;54;419,64
0000032813;!%NOTEBOOK LENOVO B50-80 (80;54;446,79
0000032814;!NOTEBOOK LENOVO B50-80 (80E;54;720,36
0000032815;!RADIOMICROFONO KARMA A BATT;82;19,935
0000032816;!RADIOMICROFONO KARMA SET 73;82;133,98
0000032817;!SWITCH NETGEAR FS728TP-100E;53;285,975
0000032818;!PENNA BIC CRISTAL MEDIUM (8;1;25,215
0000032819;!PENNA TRATTO 1 (820501) 50;44;16,53
0000032820;!TV LED 32 LG 32LF510U;31;208,785
0000032821;!PENNARELLI MAGNETICI REXEL;1;9,675
0000032822;!EVIDENZIATORE TEXTLINER48 F;44;12,63
0000032823;!%CASE COOLER MASTER HAF X (;6;129,225
0000032824;!<TV LED 24 ARIELLI LED24M1;31;140,4
0000032825;!FLASH SIGMA EM-140 DG (SIGF;1;397,41
0000032826;!CLIMATIZZATORE ARIELLI ASW-;39;318
0000032827;!CLIMATIZZATORE ARIELLI ASW-;39;303
0000032828;!SCHEDA VIDEO MSI R7 370 2GB;51;158,145
0000032829;!$TV LED 32 SAMSUNG LT32E31;31;209,85
0000032830;!STAMPANTE TERMICA ZEBRA GC4;23;322,5
0000032831;!MONITOR PHILIPS 19S4QAB 19;47;146,25
0000032832;!STAMPANTE CANON I-SENSYS LB;23;74,85
0000032833;!VERIFICA BANCONOTE FRANCOPO;1;328,755
0000032834;!TELEFONO CORDLESS PHILIPS D;58;28,995
0000032835;!NON USARE;56;28,995
0000032836;!NON USARE;58;28,995
0000032837;!TELEFONO CORDLESS MOTOROLA;58;28,095
0000032838;!TELEFONO CORDLESS MOTOROLA;58;30,96
0000032839;!TELEFONO CORDLESS MOTOROLA;58;28,095
0000032840;!TELEFONO CORDLESS MOTOROLA;58;28,2
0000032841;!TELEFONO CORDLESS PHILIPS M;58;59,37
0000032842;!TELEFONO CORDLESS PANASONIC;58;57,42
0000032843;!SMARTPHONE SAMSUNG GALAXY S;91;513,435
0000032844;!TELEFONO CORDLESS PHILIPS D;58;28,995
0000032845;!>TELEFONO CORDLESS PHILIPS;58;29,4
0000032846;!NOTEBOOK LENOVO B50-80 (80E;54;352,5
0000032847;!MEMORIA DDR4 CORSAIR 16 GB;29;85,965
0000032848;!TV LED 40 PHILIPS 40PFT410;31;289,095
0000032849;!SCHEDA MADRE GBT GA-970-GAM;35;98,895
0000032850;!SCANNER EPSON GT-S85 A4 (B1;59;332,85
0000032851;!TELECAMERA D-LINK DCS-5010L;92;84,3
0000032852;!LAVATRICE HOTPOINT AQ83L09I;55;412,98
0000032853;!TOSTIERA TEKNOLINE T03 SING;55;133,83
0000032854;!MONITOR BENQ 22 GW2270H LE;47;110,46
0000032855;!MACCHINA PER CAFFE' GAGGIA;55;182,07
0000032856;!RASOIO ELETTRICO BRAUN 130;55;42,195
0000032857;!LETTORE DVD SAMSUNG BD-J550;2;103,95
0000032858;!TONER ORIGINALE HP (CF403X);87;100,785
0000032859;!TV LED 43 LG 43LF590V;31;394,8
0000032860;!ALIMENTATORE LC-POWER 650 W;41;95,43
0000032861;!HARD DISK SEAGATE 3 TB SATA;33;113,655
0000032862;!MEMORIA DDR4 KINGSTON 16 GB;29;123,03
0000032863;!SCHEDA MADRE GBT GA-B150M-D;35;78,09
0000032864;!MONITOR ASUS VX248H 24 LED;47;191,655
0000032865;!<MONITOR LG 20M38A-B 19,5;47;85,8
0000032866;!TV LED 32 TOSHIBA 32W1534D;31;266,85
0000032867;!MONITOR AOC E719SDA 17 LED;47;122,715
0000032868;!KITLUCE VORTICE EVOLUTION22;55;40,995
0000032869;!VENTILATORE ORIEME MIAMI SO;55;40,38
0000032870;!TELECOMANDO VORTICE TELENOR;55;93,42
0000032871;!MICROONDE WHIRLPOOL JQ280SL;55;265,89
0000032872;!FORNO ELETTRICO ARDES 6226;55;73,95
0000032873;!CELLULARE BRONDI AMICO MIO;91;110,07
0000032874;!MICROONDE WHIRLPOOL JQ280WH;55;247,575
0000032875;!VENTILATORE VORTICE EVOLUTI;55;123,015
0000032876;!GELATIERA GAGGIA RI9101;55;251,895
0000032877;!VENTILATORE BIMAR VP438 PIA;55;22,83
0000032878;!CANTINA WHIRLPOOL WW1600W;55;742,005
0000032879;!MICROFONO TECHMADE TM-M390;45;8,37
0000032880;!ADATTATORE LAN TECHMADE NIC;53;23,055
0000032881;!MEMORIA PEN DRIVE CORSAIR 2;25;107,52
0000032882;!MONITOR BENQ GL2460 LED 24;31;135,48
0000032883;<ALIMENTATORE CORSAIR CX650M;41;96
0000032884;!CPU AMD A10-7870K FM2 BOX;20;167,325
0000032885;!CPU INTEL G3900;20;43,335
0000032886;!CPU INTEL I3-6100;20;162,09
0000032887;!SCHEDA VIDEO ASUS GTX970-DC;51;380,625
0000032888;!ASPIRAPOLVERE HOOVER AS70AS;55;69,09
0000032889;!TV LED 55 LG 55UF6807;31;966,195
0000032890;<POWERLINE FRITZ 510E (20002;53;57,045
0000032891;!PC LENOVO THINKCENTRE S200;13;317,4
0000032892;!NON USARE;56;9
0000032893;!>PC LENOVO THINKCENTRE E73;13;487,305
0000032894;!NON USARE;31;174,225
0000032895;!<TV LED 43 ARIELLI LED4318;31;312
0000032896;!SECURE DIGITAL KINGSTON 64;25;39,75
0000032897;!SOFTWARE SQL SERVER STANDAR;69;1134,18
0000032898;!SOFTWARE VISUAL STUDIO 2015;69;633,075
0000032899;!TOSTIERA TEKNOLINE T06 DOPP;55;177,09
0000032900;!MEMORIA DDR4 COSAIR 16 GB P;29;151,8
0000032901;!TV LED 40 HISENSE LTDN40D5;31;300,735
0000032902;!TERMOCONVETTORE VORTICE CAL;55;115,5
0000032903;!CDRW SONY 10CRRW80SHS CONF.;82;18,75
0000032904;CARTUCCIA COMPATIBILE EPSON;43;7,965
0000032905;CARTUCCIA COMPATIBILE EPSON;43;7,98
0000032906;CARTUCCIA COMPATIBILE EPSON;43;7,92
0000032907;CARTUCCIA COMPATIBILE EPSON;43;7,92
0000032908;CARTUCCIA COMPATIBILE CANON;43;8,055
0000032909;!NON USARE;43;12,3
0000032910;CARTUCCIA COMPATIBILE CANON;43;8,025
0000032911;CARTUCCIA COMPATIBILE CANON;43;8,235
0000032912;CARTUCCIA COMPATIBILE CANON;43;8,175
0000032913;CARTUCCIA COMPATIBILE CANON;43;8,475
0000032914;!TV LED 48 SAMSUNG UE48JU64;31;702,165
0000032915;!TV LED 55 LG 55UF695V;31;831,27
0000032916;!TV LED 50 HAIER LE50K5000T;31;545,76
0000032917;!TV LED 32 HAIER LE32U5000A;31;285,105
0000032918;!SCATOLA VORTICE SCRR5L;55;34,785
0000032919;!PS4 1TB CHASSIS + DUALSHOCK;57;524,85
0000032920;!SCHEDA VIDEO GAINWARD GTX97;51;338,955
0000032921;!FLASH SONY HVL-F60M (IPT1E8;1;403,125
0000032922;TONER COMPATIBILE XEROX PHAE;43;58,35
0000032923;!VENTILATORE LEWE CROMO40SH;55;59,265
0000032924;!TONER ORIGINALE KYOCERA TK-;87;165,36
0000032925;!HARD DISK HP 500GB SATA (65;33;212,97
0000032926;!PENNINO HP ELITE X2 1012 AC;60;71,355
0000032927;!LETTORE DVD SAMSUNG BD-J450;2;68,76
0000032928;!TV LED 48 SAMSUNG UE48JU65;31;929,31
0000032929;!TV LED 48 SAMSUNG UE48J630;31;595,77
0000032930;!TV LED 48 SAMSUNG UE48J500;31;451,185
0000032931;!%LAMPADA I-LIGHT LED GLOBO;80;10,56
0000032932;%LAMPADA I-LIGHT LED GLOBO E;80;10,56
0000032933;!%LAMPADA I-LIGHT LED GLOBO;80;10,545
0000032934;!%LAMPADA I-LIGHT LED OLIVA;80;10,56
0000032935;!%LAMPADA I-LIGHT LED OLIVA;80;10,56
0000032936;!%LAMPADA I-LIGHT LED GOCCIA;80;10,335
0000032937;!%LAMPADA I-LIGHT LED GOCCIA;80;10,335
0000032938;!%LAMPADA I-LIGHT LED GOCCIA;80;11,37
0000032939;!%LAMPADA I-LIGHT LED GOCCIA;80;11,37
0000032940;!<TV LED 32 ARIELLI LED32D9;31;174,225
0000032941;!VIDEOGAME PS4 UNCHARTED 4 (;57;27,75
0000032942;!SCHEDA VIDEO INNO3D GTX960;51;212,715
0000032943;!HDMI EXTENDER CAT5E/6 60 MT;7;64,35
0000032944;!TELECOMANDO SUPERIOR UNIVER;1;19,095
0000032945;!MICROONDE SAMSUNG GW76V-SS;55;102,195
0000032946;!MACCHINA PER CUCIRE NECCHI;55;118,8
0000032947;!SCHEDA VIDEO XFX R9 380 4 G;51;220,71
0000032948;!TONER ORIGINALE HP CF280XC;87;123,48
0000032949;!TV LED 40 HAIER LE40U5000A;31;372,285
0000032950;!CLIMATIZZATORE MITSUBISHI 9;39;560,775
0000032951;!TV LED 32 HISENSE LHD32D50;31;189,975
0000032952;!TONER ORIGINALE KYOCERA TK-;87;161,625
0000032953;!<SMARTPHONE SAMSUNG A310F G;91;263,865
0000032954;!SMARTPHONE SAMSUNG A510 (SM;91;442,5
0000032955;!HARD DISK SSD SAMSUNG 750 V;33;115,41
0000032956;!CASE CORSAIR AIR 540 (CC-90;6;168,945
0000032957;!SCHEDA MADRE GBT GA-Z170-GA;35;139,71
0000032958;!<TV LED 40 SAMSUNG UE40J62;31;406,485
0000032959;!CASSETTO PER STAMPANTE SAMS;88;84,39
0000032960;TONER COMPATIBILE RICOH AFIC;43;20,475
0000032961;!SMARTCAM HUMAX CAMTIVUSATHD;1;102,50895
0000032962;!SMARTWATCH HANNSPREE PULSE;40;108,51
0000032963;!FOTOCAMERA DIGITALE CANON E;15;1974,225
0000032964;!HARD DISK SSD KINGSTON 480;33;153,12
0000032965;!MONITOR 24 ASUS VX229H (90;47;157,35
0000032966;!MONITOR ASUS PB258Q 25 LED;47;324,945
0000032967;!SCHEDA VIDEO PNY QUADRO K42;51;121,185
0000032968;!HARD DISK SEAGATE 3 TB ESTE;25;116,445
0000032969;!DISTRUGGI DOCUMENTI REXEL A;1;136,44
0000032970;!ROUTER D-LINK DIR-880L;53;139,365
0000032971;!<PC HP 280 MT G2 (V7Q85EA);13;266,79
0000032972;!PC LENOVO ESSENTIAL S500 (1;13;455,025
0000032973;!PC ASUS A4110-BD019M (90PT0;81;434,25
0000032974;!<PC LCD 21,5 MSI AE222T-27;81;507,03
0000032975;!OBIETTIVO SIGMA 150-500mm f;1;836,49
0000032976;!HARD DISK MAXTOR 5 TB ESTER;25;162,09
0000032977;!HARD DISK SSD SANDISK 256GB;33;102,975
0000032978;!HARD DISK SSD TRION 150 480;33;161,265
0000032979;!PC HP 285 MT G2 (T9T25EA);13;266,85
0000032980;!SCANNER EPSON V370 A4 (B11B;59;129,72
0000032981;!TONER ORIGINALE BROTHER TN-;87;135,9
0000032982;!TONER ORIGINALE BROTHER TN-;87;135,57
0000032983;!CASE CORSAIR VENGEANCE C70;6;131,67
0000032984;!MONITOR 24 NEC EA244WMI LE;47;371,115
0000032985;!TV LED 19 MIIA MTV-D19LEHD;31;95,385
0000032986;!TV LED 55 SAMSUNG UE55JU64;31;893,445
0000032987;!<PC STICK ASUS QM1-C006(90M;13;136,53
0000032988;!SCHEDA MADRE MSI X99A MPOWE;35;278,325
0000032989;!MONITOR ASUS VT168N 15,6 L;47;194,415
0000032990;!>CARTUCCIA ORIGINALE EPSON;87;100,695
0000032991;!ALIMENTATORE TECNO 500W (53;41;17,85
0000032992;ALIMENTATORE TECNO 500W MICR;41;20,85
0000032993;MATASSA CAVO DI RETE TECNO 3;7;60,03
0000032994;!LETTORE BAR CODE TECNO USB;9;31,5
0000032995;!MOUSE TECNO TC 11 NERO USB;50;8,85
0000032996;!SCHEDA MADRE GBT GA-N3050N-;35;80,34
0000032997;!TV LED 55 SAMSUNG UE55J510;31;660,795
0000032998;!MONITOR SAMSUNG U28E590D 28;47;283,254
0000032999;!%CARTA FABRIANO TOP CLASS A;44;10,23
000003300;!NON USARE;58;9
0000033000;!NON USARE;58;9
0000033001;!<TV LED 49 SONY KD49X8005C;31;768,495
0000033002;!<BATTERIA PER SAMSUNG S3 MI;37;16,335
0000033003;!AURICOLARE SONY MDREX15AP/B;45;18,045
0000033004;!<CAVO SAMSUNG GALAXY TAB 30;7;13,65
0000033005;!AURICOLARE SAMSUNG S5 HS330;45;13,935
0000033006;!AURICOLARI SAMSUNG BIANCO;45;18,195
0000033007;!CAVO SAMSUNG GALAXY NOTE3 U;7;13,98
0000033008;!BATTERIA PER SAMSUNG S5 MIN;37;20,28
0000033009;!BATTERIA PER SAMSUNG S4 MIN;37;17,25
0000033010;!CARICABATTERIE SAMSUNG S6 (;1;18,54
0000033011;!TONER ORIGINALE BROTHER TN-;87;66
0000033012;!BATTERIA PER SAMSUNG NOTE 4;37;19,428
0000033013;!FERRO DA STIRO ARIETE ECOPO;55;32,52
0000033014;!CASE LC-POWER 7024B 420 WAT;6;55,665
0000033015;!SISTEMA OPERATIVO WINDOWS 7;69;50,535
0000033016;!<MONITOR DELL 24 SE2416H (;47;139,275
0000033017;!MONITOR BENQ 28 GW2870H LE;47;202,95
0000033018;!<MONITOR 24 ASUS VS248HR;47;145,32
0000033019;!WEB CAM LOGITECH C920;79;78,36
0000033020;!SCHEDA MADRE ASROCK G41M-VS;35;75,075
0000033021;!HARD DISK MAXTOR 500 GB EST;25;49,305
0000033022;!MONITOR LG 29UB55-B 29LED;47;331,935
0000033023;!FOTOCAMERA DIGITALE FUJIFIL;15;956,55
0000033024;!SCANNER I.R.I.S IRISCAN BOO;59;85,515
0000033025;NAS ZYXEL NAS326-EU0101F;53;121,35
0000033026;!HARD DISK HP 1,2 TB (781518;33;403,98
0000033027;!HARD DISK SSD KINGSTON 480;33;136,77
0000033028;!<SMARTPHONE SAMSUNG GALAXY;91;218,1
0000033029;!<SMARTPHONE HUAWEI P8 LITE;91;217,5
0000033030;!>SMARTPHONE HUAWEI P8 LITE;91;220,5
0000033031;!SMARTPHONE SAMSUNG GALAXY J;91;210
0000033032;!SMARTPHONE SAMSUNG GALAXY J;91;210
0000033033;!CARTA SELECT ONE A4 80 GRAM;44;10,08
0000033034;!MONITOR DELL 25 UP2516D (2;47;440,16
0000033035;!SCHEDA MADRE ASROCK FM2A88X;35;108,165
0000033036;!MEMORIA DDR4 CORSAIR 16 GB;29;195,915
0000033037;!SCHEDA VIDEO PALIT GTX750TI;51;131,25
0000033038;!MONITOR DELL 21,5 E2216H (;47;170,415
0000033039;!FOTOCAMERA DIGITALE NIKON D;15;847,935
0000033040;!SWITCH NETGEAR GS728TP-100E;53;416,4
0000033041;!MEMORIA DDR4 CORSAIR 32 GB;29;199,245
0000033042;!UPS TECNOWARE ERA PLUS 1500;32;197,985
0000033043;!MONITOR 22ASUS VE228TL LED;47;136,53
0000033044;!TV LED 24 MIIA MTV-C24LEHD;31;146,88
0000033045;!NASTRO ADESIVO EUROCEL MSK6;87;8,655
0000033046;!TONER ORIGINALE SAMSUNG;87;53,31
0000033047;!SWITCH HP 1920-24G-POE+ (JG;53;666,75
0000033048;!SWITCH HP 1920-24G (JG924A);53;248,415
0000033049;!SWITCH HP X121 1G SFP LC SX;53;78
0000033050;!TONER ORIGINALE KYOCERA TK-;87;108,765
0000033051;!TV LED 55 HISENSE LTDN55K7;31;918,525
0000033052;!MONITOR BENQ BL2420Z LED 24;31;205,605
0000033053;!FOTOCAMERA DIGITALE CANON E;15;2145,735
0000033054;!FOTOCAMERA NIKON 1 J5 Bianc;15;463,74
0000033055;!OBIETTIVO PANASONIC LUMIX G;15;349,395
0000033056;!MONITOR HP M1N98AA#ABB 23;47;190,545
0000033057;!SCHEDA MADRE MSI 970A-G43 P;35;81,54
0000033058;!MONITOR LED 23 LIYAMA (XB2;31;191,265
0000033059;!MONITOR 19,5 AOC M2060SWDA;47;96,75
0000033060;!ARMADIO RACK 196U A PAR. N;88;84,45
0000033061;!ARMADIO RACK 199U A PAR. N;88;111,165
0000033062;!<MONITOR 21,5 AOC E2270SWH;47;100,125
0000033063;!<MB ASROCK Q1900B-ITX;35;79,26
0000033064;!>MONITOR AOC 23,6 E2470SWH;47;117,45
0000033065;!>MONITOR AOC 24 E2460SD2 L;47;133,98
0000033066;!MONITOR AOC 27 E2770SH LED;47;154,23
0000033067;!HARD DISK WD 6 TB SATA (WD0;33;256,425
0000033068;!HARD DISK TOSHIBA 5 TB SATA;33;165,24
0000033069;!MEMORIA DDR4 G.SKILL 16 GB;29;208,77
0000033070;!DRUM BROTHER DR-241CL;87;99,06
0000033071;!SCHEDA MADRE GIGABYTE GA-H1;35;70,35
0000033072;!SCHEDA MADRE ASUS H170-PRO;35;116,3238
0000033073;!FOTOCAMERA DIGITALE CANON E;15;487,74
0000033074;!TONER ORIGINALE KYOCERA TK-;87;127,245
0000033075;!SCHEDA MADRE MSI B85-G41 PC;35;77,445
0000033076;!SCHEDA VIDEO SAPPHIRE R9-39;51;332,01
0000033077;!<STAMPANTE HP OFFICEJET 383;23;67,635
0000033078;!TONER COMPATIBILE RICOH AFI;43;52,5
0000033079;!TONER COMPATIBILE RICOH AFI;43;52,5
0000033080;!TONER COMPATIBILE RICOH AFI;43;52,5
0000033081;!TONER COMPATIBILE RICOH AFI;43;52,5
0000033082;!FOTOCAMERA DIGITALE CANON P;15;166,44
0000033083;!MONITOR LG 22MP47D-P 22 LE;47;129,405
0000033084;!MONITOR DELL 27 UP2716D (2;47;505,275
0000033085;!HARD DISK SSD SANDISK 1TB (;33;280,05
0000033086;!HARD DISK TOSHIBA 3 TB SATA;33;76,035
0000033087;!SISTEMA DI SORVEGLIANZA NVR;92;570
0000033088;!TV LED 39 SMART TECH LE391;31;203,595
0000033089;!TV LED 24 SMART TECH LE241;31;113,925
0000033090;!TV LED 32 SMART TECH LE32D;31;171,54
0000033091;!VENTOLA PER CPU ARCTIC FREZ;77;21,195
0000033092;!TONER ORIGINALE HP CC364A N;87;156,6
0000033093;!TONER COMPATIBILE HP CE410A;43;17,505
0000033094;!NAS QNAP TS-251+-8G;53;506,715
0000033095;!TONER ORIGINALE OLIVETTI B0;87;83,145
0000033096;!CARTUCCIA ORIGINALE CANON 5;87;28,515
0000033097;!RANGE EXTENDER NETGEAR AC12;53;73,5
0000033098;!CASE CORSAIR OBSIDIAN 900D;6;397,695
0000033099;!<PC HP 280 MT G2 (V7Q81EA);13;375,885
0000033100;!PC ASUS A4110-BD028X (90PT0;81;512,085
0000033101;!<PC LCD 21,5 MSI AE222-283;81;558,915
0000033102;!>PC LCD 19,5 PRO 20ET 4BW-;81;610,8
0000033103;!PC LCD 23,6 MSI ADORA24 2M;81;532,95
0000033104;!<PC LCD 23,6 MSI ADORA24 2;81;532,965
0000033105;!MONITOR 27 DELL U2717D (21;47;585,525
0000033106;!<MONITOR SAMSUNG LS22F350FH;47;106,35
0000033107;!MISURATORE DI PRESSIONE INN;55;30,36
0000033108;!MANICURE E PEDICURE SET INN;55;19,335
0000033109;!OBIETTIVO SAMYANG 12MM F/2.;1;390,555
0000033110;MANICURE E PEDICURE SET INNO;55;31,47
0000033111;!LAMPADA ANTIZANZARE INNOFIT;55;21,975
0000033112;!LAMPADA ANTIZANZARE INNOFIT;55;24,24
0000033113;!LAMPADA ANTIZANZARE INNOFIT;55;41,025
0000033114;!BILANCIA PESA PERSONA INNOF;55;28,92
0000033115;!BILANCIA PESA PERSONA INNOF;55;24,18
0000033116;!DISPOSITIVO PORTATILE INNOF;55;14,295
0000033117;!BILANCIA DIGITALE DA CUCINA;55;30,36
0000033118;!BILANCIA DIGITALE DA CUCINA;55;21,09
0000033119;!BILANCIA DIGITALE DA CUCINA;55;21,09
0000033120;!BILANCIA DIGITALE DA CUCINA;55;21,09
0000033121;!SCALDABIBERON AUTO CON  BOR;55;23,565
0000033122;!MESCOLATORE RICARICABILE IN;55;35,91
0000033123;!CENTRIFUGA INNOFIT INN-711I;55;53,22
0000033124;!CENTRIFUGA INNOFIT INN-712;55;38,385
0000033125;!TAGLIACAPELLI E REGOLABARBA;55;19,62
0000033126;!ESTRATTORE DI SUCCO INNOFIT;55;87,81
0000033127;!IMPASTATRICE CON FRULLATOR;55;168,15
0000033128;!BABY MONITOR MEDIFIT MD-609;55;38,385
0000033129;!BABY SPINOTTO ANTIZANZARE M;55;15,66
0000033130;!TASTIERA PER NOTEBOOK ACER;22;23,415
0000033131;!TASTIERA PER NOTEBOOK COMPA;22;32,385
0000033132;!TASTIERA PER NOTEBOOK ASUS;22;23,52
0000033133;!TASTIERA PER NOTEBOOK TOSHI;22;27,12
0000033134;!TASTIERA PER NOTEBOOK HP PA;22;29,07
0000033135;!<OBIETTIVO CANON EF 75-300M;1;154,725
0000033136;!NOTEBOOK ASUS K501UX-FI116T;54;1356
0000033137;!HARD DISK WD 6 TB SATA (WD6;33;192,885
0000033138;!SCHEDA MADRE ASUS X99-DELUX;35;438,315
0000033139;!NOTEBOOK DELL INSPIRON 5759;54;971,46
0000033140;!SCHEDA VIDEO INNO3D GTX750;51;114,45
0000033141;!MONITOR DELL 24 S2415H (21;47;181,65
0000033142;!CUFFIA RAZEN KRAKEN PRO 201;82;91,515
0000033143;!MONITOR SAMSUNG LS27E591CS/;47;315,705
0000033144;!TV LED 49 SONY KDL49WD758B;31;683,895
0000033145;!ROUTER WIRELESS ASUS RT-AC6;53;150,6
0000033146;!SCHEDA VIDEO SAPPHIRE R7 25;51;83,61
0000033147;!DDR4 KINGSTON 8 GB 2133;29;102,9
0000033148;!DDR4 KINGSTON 8 GB 2400;29;99,75
0000033149;!FOTOCAMERA DIGITALE CANON P;15;184,74
0000033150;!BATTERIE STILO SONY AA (SUM;37;7,85205
0000033151;!BATTERIE MINISTILO SONY AAA;37;7,85205
0000033152;!MONITOR DELL 23 P2314H (21;47;213,795
0000033153;!HI-FI SAMSUNG MX-J630/ZF;82;136,53
0000033154;!FOTOCAMERA FUJIFILM X70 NER;15;707,28
0000033155;!HARD DISK SEAGATE 5 TB SATA;33;189,12
0000033156;!TV LED 50 SAMSUNG UE50JU68;31;635,1
0000033157;!MONITOR DELL 19 P1914S (21;47;189,96
0000033158;!MONITOR ASUS 27 VC279H-W (;31;261,645
0000033159;!MATASSA CAVO DI RETE MACH P;1;168,6
0000033160;!FOTOCAMERA DIGITALE CANON P;15;187,02
0000033161;!SCHEDA MADRE ASROCK B150 PO;35;79,425
0000033162;!MB ASROCK B150M HDS;35;78,6
0000033163;!SCHEDA MADRE ASROCK B150M R;35;76,365
0000033164;!SCHEDA MADRE ASROCK B150M-T;35;92,295
0000033165;!SCHEDA MADRE ASROCK H110M-I;35;66,045
0000033166;!SCHEDA MADRE ASROCK Z170 PR;35;107,49
0000033167;!SCHEDA MADRE ASUS B150 PLUS;35;97,995
0000033168;!FOTOCAMERA DIGITALE FUJIFIL;15;1154,37
0000033169;!TV LED 32 LG 32LF592U;31;284,16
0000033170;!TV LED 32 SAMSUNG UE32J500;31;238,5
0000033171;!DISPLAY LED 15.6 (B156HTN0;1;121,425
0000033172;!PC ASUS D320MT-I361000494;13;473,175
0000033173;!CASE CORSAIR AIR 540 (CC-90;6;160,155
0000033174;!HARD DISK SSD CRUCIAL MX300;33;196,305
0000033175;!TV LED 49 LG 49LF590V;31;498,075
0000033176;!<TV LED 55 LG 55LF592V;31;663,795
0000033177;!FOTOCAMERA DIGITALE CANON E;15;1122,36
0000033178;!<BATTERIE PHILIPS CR2032 3V;37;8,385
0000033179;!BATTERIE PHILIPS CR123A 3V;37;10,59
0000033180;!<BATTERIE PHILIPS 9V ALKALI;37;9,15
0000033181;!ASPIRAPOLVERE HOOVER FLOORM;55;279,63
0000033182;!FOTOCAMERA FUJIFILM INSTAX;15;120,705
0000033183;!SCHEDA VIDEO MSI GTX970 4GB;51;312,585
0000033184;!HARD DISK SSD SAMSUNG 750 E;33;171,915
0000033185;!UPS NILOX 1400VA/700W (17NX;32;97,425
0000033186;!HARD DISK SSD KINGSTON 120;33;63,825
0000033187;!LETTORE LASER WIRED QUASAR;9;51
0000033188;!RADIOMICROFONO KARMA VHF ST;82;50,055
0000033189;!RADIOMICROFONO KARMA SET 60;82;49,845
0000033190;!RADIOMICROFONO KARMA VHF SE;82;46,77
0000033191;!CASSA AUDIO KARMA RDM 8A 12;82;119,01
0000033192;!CASSA AUDIO KARMA RDM 10A 1;82;134,49
0000033193;!(NON USARE) CASSA AUDIO KAR;56;202,89
0000033194;!CASSA AUDIO KARMA PACK FUZZ;82;248,64
0000033195;!CASSA AUDIO KARMA PICKY 6-5;82;127,575
0000033196;!BUBBLE MACHINE KARMA BUBBL;82;35,325
0000033197;!BUBBLE MACHINE KARMA BUBBLE;82;25,71
0000033198;!ILLUMINATORE KARMA A LED DJ;82;113,4
0000033199;!TONER ORIGINALE OLIVETTI B0;87;97,77
0000033200;!FOTOCAMERA DIGITALE PANASON;15;692,415
0000033201;!TONER ORIGINALE KYOCERA TK-;87;83,97
0000033202;!TONER ORIGINALE KYOCERA TK-;87;83,97
0000033203;!MEMORIA DDR3 CRUCIAL 16 GB;29;187,65
0000033204;!SMARTPHONE SAMSUNG GALAXY J;91;193,02
0000033205;!SMARTPHONE SAMSUNG GALAXY J;91;189,87
0000033206;!%SMARTPHONE SAMSUNG GALAXY;91;307,35
0000033207;!SCHEDA MADRE MSI B150M GAMI;35;88,65
0000033208;!SMARTPHONE HUAWEI Y5 NERO/B;91;97,35
0000033209;!%SMARTPHONE HUAWEI Y6 NERO;91;140,13
0000033210;!>SMARTPHONE HUAWEI Y6 BIANC;91;147
0000033211;!%SMARTPHONE HUAWEI P8 LITE;91;182,25
0000033212;!TV LED 55 HISENSE LTDN55K3;31;736,065
0000033213;!<SMARTPHONE SAMSUNG A310F G;91;255
0000033214;!HARD DISK TOSHIBA 2 TB SATA;33;73,98
0000033215;!TV LED 49 SAMSUNG UE49KS70;31;1119
0000033216;!SO-DDR4 KINGSTON 8 GB PC213;29;50,19
